cpu_request,mem_request,cpu_limit,mem_limit,runtime_minutes,cpu_usage,ck_DaemonSet,ck_Job,ck_ReplicaSet,ck_ReplicationController,ck_StatefulSet,ck_UNKNOWN
0.0,0,0.0,0,8.718266666,0.1419274018,0.0,0.0,1.0,0.0,0.0,0.0
0.01,1073741824,0.2,2147483648,10726.11827,0.00429218797,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.8516,0.03050515917,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10726.18493,0.0006337991507,1.0,0.0,0.0,0.0,0.0,0.0
0.1,3221225472,1.0,4294967296,10724.56827,0.01092028739,0.0,0.0,0.0,0.0,1.0,0.0
0.02,536870912,0.1,1073741824,10720.9516,0.0001713225147,0.0,0.0,1.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10723.1516,0.00549476285,0.0,0.0,0.0,0.0,1.0,0.0
0.01,134217728,0.1,268435456,10726.66827,0.00368795594,1.0,0.0,0.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10723.2516,0.006495635817,0.0,0.0,0.0,0.0,1.0,0.0
0.1,50000000,0.2,100000000,10720.96827,0.04679748003,1.0,0.0,0.0,0.0,0.0,0.0
0.1,268435456,0.5,1073741824,10727.28493,0.01244338396,1.0,0.0,0.0,0.0,0.0,0.0
0.2,67108864,0.5,134217728,10723.8516,0.01663097341,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.98493,0.0007397862253,1.0,0.0,0.0,0.0,0.0,0.0
0.1,2147483648,1.0,3221225472,10724.68493,0.007223561869,0.0,0.0,0.0,0.0,1.0,0.0
0.005,20971520,0.05,104857600,10724.18493,0.0003735613019,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10726.11827,0.0001479224458,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.18493,0.006720816654,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.86827,0.001578858932,0.0,0.0,0.0,0.0,1.0,0.0
0.512,1073741824,1.024,2147483648,10724.08493,0.01397568426,0.0,0.0,1.0,0.0,0.0,0.0
0.1,1073741824,0.3,4294967296,10727.23493,0.05513684943,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.07877,4.11e-05,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6442450944,0.0,0,10727.0621,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.64543,0.006397534116,1.0,0.0,0.0,0.0,0.0,0.0
0.512,536870912,0.512,536870912,10724.47877,0.06862979538,0.0,0.0,1.0,0.0,0.0,0.0
0.01,67108864,0.1,134217728,10723.69543,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10720.87877,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.89543,0.0006135840847,1.0,0.0,0.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.09543,0.0008128181631,0.0,0.0,1.0,0.0,0.0,0.0
0.01,16777216,0.1,33554432,10726.9621,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.005,26214400,0.02,104857600,882.5454333,0.000236064786,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.02877,0.004037431147,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10722.44543,0.00307942621,1.0,0.0,0.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10726.24543,0.0001403305852,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.5121,0.0006328411682,1.0,0.0,0.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10720.34543,0.0093282941,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10724.74543,0.03511722683,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10727.29543,0.05156724583,1.0,0.0,0.0,0.0,0.0,0.0
0.1,67108864,0.2,134217728,10446.1121,0.1507844244,1.0,0.0,0.0,0.0,0.0,0.0
0.01,33554432,0.1,134217728,10722.72877,1.75e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10724.49543,0.006942542938,0.0,0.0,0.0,0.0,1.0,0.0
0.01,134217728,0.1,536870912,10726.4621,0.01383696335,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,1.0,3221225472,10722.61827,0.007829328064,0.0,0.0,0.0,0.0,1.0,0.0
0.8,536870912,1.0,1073741824,10723.1516,0.0005239419048,0.0,0.0,1.0,0.0,0.0,0.0
